id;the_geom;osm_id;name;ref;type;oneway;bridge;maxspeed
roads.5908;MULTILINESTRING ((1.4155572 43.5687685, 1.415855 43.5687306));94481075;;A 620;motorway;1;0;90
roads.5909;MULTILINESTRING ((1.4281521 43.6460999, 1.4285541 43.6461285));94732014;;;path;0;0;0
roads.5910;MULTILINESTRING ((1.4285541 43.6461285, 1.4286978 43.64614, 1.4291196 43.6461737));94732027;;;path;0;0;0
roads.5911;MULTILINESTRING ((1.45441 43.6096165, 1.4543773 43.6095953, 1.4542877 43.6095375));94789593;Pont Georges Pompidou;;primary;1;0;50
roads.5912;MULTILINESTRING ((1.4544741 43.6095489, 1.4549822 43.6098838));94789594;Pont Georges Pompidou;;primary;1;1;50
roads.5913;MULTILINESTRING ((1.4549154 43.6099444, 1.4544346 43.6096325, 1.45441 43.6096165));94789602;Pont Georges Pompidou;;primary;1;1;50
roads.5914;MULTILINESTRING ((1.4549822 43.6098838, 1.4550536 43.6099063, 1.4551731 43.6099135, 1.4552051 43.6099117, 1.4552898 43.6099071, 1.4553963 43.6098788, 1.455501 43.6098599));94789604;Place de l'Ordre des Palmes Accadémiques;;primary;1;0;50
roads.5915;MULTILINESTRING ((1.4467461 43.6230417, 1.446457 43.6235017, 1.4463447 43.6237559, 1.4462635 43.6240118, 1.4461704 43.624413, 1.4461106 43.6246585, 1.4460629 43.6247312, 1.446039 43.6247813, 1.4460485 43.6248211, 1.4460971 43.6248511, 1.4461536 43.624866, 1.4461751 43.6248937, 1.4461704 43.6249266, 1.4460605 43.6251064, 1.4460629 43.6251375, 1.4460919 43.6251562, 1.4461595 43.6251807, 1.446199 43.6251981, 1.4460342 43.6254747, 1.4459458 43.6256459, 1.4458049 43.6260021, 1.4456711 43.6263652, 1.4455182 43.626571, 1.4455134 43.6266177, 1.4455514 43.6266555, 1.4456313 43.6266933, 1.4456448 43.6267249, 1.4456114 43.6267768, 1.445437 43.6269238, 1.4453147 43.6270069, 1.4453002 43.6270287, 1.4452752 43.6270562, 1.4452249 43.6271094));94833567;;;service;0;0;0
roads.5916;MULTILINESTRING ((1.4525245 43.6155873, 1.4524669 43.6156097, 1.4524255 43.6156852, 1.4523619 43.6157472, 1.4523457 43.6157675, 1.452269 43.6158424, 1.452312 43.6159461, 1.4522738 43.6161053, 1.4521377 43.6163578, 1.4515596 43.6172207, 1.4511654 43.6177672, 1.4509576 43.6179886, 1.450733 43.6182653, 1.4504846 43.6184746, 1.4501979 43.6186838, 1.4499805 43.6188118, 1.4496222 43.6189795, 1.4493809 43.6190608, 1.4493212 43.6190937, 1.4492926 43.6191438, 1.4493191 43.6191881, 1.4493117 43.6192355, 1.449283 43.6192839, 1.4489366 43.619469, 1.4487455 43.6196056, 1.448509 43.6198287, 1.4483609 43.6200137, 1.4481794 43.6202783, 1.4477565 43.6208939, 1.4473528 43.6214905, 1.4468894 43.6221702, 1.4464475 43.6228186, 1.4465384 43.6228661, 1.4466151 43.6229035, 1.4466851 43.6229384, 1.446715 43.6230106, 1.4467461 43.6230417));94833581;;;service;0;0;0
roads.5917;MULTILINESTRING ((1.452269 43.6158424, 1.4521188 43.6157921, 1.451593 43.6156158, 1.4513565 43.6155536, 1.4511893 43.6155587, 1.4508166 43.6156867, 1.4503623 43.6159, 1.4502279 43.6160513, 1.4497782 43.616683));94833598;;;service;0;0;0
roads.5918;MULTILINESTRING ((1.4977872 43.5540923, 1.4977721 43.5541176, 1.4975397 43.5545174, 1.4974676 43.5546683, 1.4973882 43.5548546, 1.4972683 43.5552247, 1.4971353 43.555694, 1.4970354 43.5560022, 1.4967583 43.5566551, 1.4966066 43.5570512, 1.4962449 43.5580219, 1.4961865 43.5581758, 1.4961516 43.5582795, 1.4961084 43.5584304, 1.4960807 43.5585817));95837891;;;tertiary;0;0;0
roads.5919;MULTILINESTRING ((1.4283119 43.6053669, 1.428406 43.6053273, 1.4284688 43.6052839));96321150;Avenue de l'Ancien Vélodrome;;residential;1;0;30
roads.5920;MULTILINESTRING ((1.419392 43.5958111, 1.419314 43.5957933, 1.4191747 43.5957503, 1.4188669 43.595666, 1.4186817 43.5956211, 1.4185879 43.595584));96379980;Avenue de Lombez;D 632;primary;1;0;50
roads.5921;MULTILINESTRING ((1.4193565 43.5953685, 1.4193031 43.5952516, 1.4192549 43.59511, 1.4192113 43.5946782, 1.4191742 43.5944081, 1.41914 43.594308, 1.41914 43.594259, 1.4191414 43.5942187, 1.4191729 43.5941915, 1.4192091 43.5941784, 1.4192554 43.5941822, 1.4192969 43.5941939, 1.4193285 43.594223, 1.4193419 43.5942585, 1.4193432 43.5943697, 1.4194316 43.5949973, 1.4194715 43.5952156, 1.4195038 43.5954232));96379982;;;unclassified;1;0;0
roads.5922;MULTILINESTRING ((1.4185879 43.595584, 1.4187105 43.5955954, 1.4191335 43.5956582, 1.4191583 43.595661, 1.419439 43.595704));96379984;Avenue de Lombez;D 632;primary;1;0;50
roads.5923;MULTILINESTRING ((1.4193378 43.5950111, 1.4192358 43.5942632));96379985;Boulevard Gabriel Koenigs;;secondary;0;0;50
roads.5924;MULTILINESTRING ((1.4193378 43.5950111, 1.4195038 43.5954232, 1.4195792 43.5955822, 1.4196214 43.5957229));96379987;Boulevard Gabriel Koenigs;;secondary;1;0;50
roads.5925;MULTILINESTRING ((1.454552 43.6402881, 1.4545553 43.6402312, 1.4544868 43.6402011, 1.4544708 43.6401589, 1.454473 43.6398887, 1.4545655 43.6397497, 1.4547388 43.6396402, 1.4546012 43.6386602));96590018;;;cycleway;0;0;0
roads.5926;MULTILINESTRING ((1.4495967 43.6358072, 1.4496203 43.6359227, 1.4494755 43.6361518, 1.4494004 43.6367302, 1.4494191 43.6367671, 1.4494248 43.6367837, 1.4494436 43.6368822, 1.4494494 43.6369754, 1.4494379 43.6370753));96680402;;;footway;0;0;0
